Source,Target,Type,weight,book,new_weight
Aegon-I-Targaryen,Harren-Hoare,Undirected,4,2,89
Aegon-I-Targaryen,Nan,Undirected,3,2,90
Aegon-I-Targaryen,Rhaenys-Targaryen,Undirected,4,2,89
Aegon-I-Targaryen,Tyrion-Lannister,Undirected,3,2,90
Aegon-I-Targaryen,Visenya-Targaryen,Undirected,3,2,90
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,3,2,90
Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,Undirected,3,2,90
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,9,2,84
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,11,2,82
Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,Undirected,3,2,90
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,2,88
Aenys-Frey,Arya-Stark,Undirected,6,2,87
Aeron-Greyjoy,Dagmer,Undirected,5,2,88
Aeron-Greyjoy,Theon-Greyjoy,Undirected,17,2,76
Aerys-I-Targaryen,Robert-Baratheon,Undirected,3,2,90
Aerys-II-Targaryen,Eddard-Stark,Undirected,5,2,88
Aerys-II-Targaryen,Jaime-Lannister,Undirected,4,2,89
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,4,2,89
Aerys-II-Targaryen,Robert-Baratheon,Undirected,6,2,87
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,3,2,90
Aggar,Gariss,Undirected,3,2,90
Aggar,Gelmarr,Undirected,3,2,90
Aggar,Gynir,Undirected,3,2,90
Aggar,Ramsay-Snow,Undirected,4,2,89
Aggo,Belwas,Undirected,3,2,90
Aggo,Daenerys-Targaryen,Undirected,10,2,83
Aggo,Jhogo,Undirected,12,2,81
Aggo,Jorah-Mormont,Undirected,4,2,89
Aggo,Rakharo,Undirected,4,2,89
Alayaya,Dancy,Undirected,3,2,90
Alayaya,Tyrion-Lannister,Undirected,3,2,90
Alebelly,Bran-Stark,Undirected,7,2,86
Alebelly,Hayhead,Undirected,3,2,90
Alebelly,Jojen-Reed,Undirected,6,2,87
Alebelly,Mikken,Undirected,3,2,90
Alester-Florent,Cortnay-Penrose,Undirected,4,2,89
Alester-Florent,Davos-Seaworth,Undirected,3,2,90
Alester-Florent,Renly-Baratheon,Undirected,3,2,90
Alester-Florent,Stannis-Baratheon,Undirected,5,2,88
Allar-Deem,Janos-Slynt,Undirected,3,2,90
Allar-Deem,Tyrion-Lannister,Undirected,4,2,89
Allard-Seaworth,Davos-Seaworth,Undirected,5,2,88
Allard-Seaworth,Marya-Seaworth,Undirected,5,2,88
Allard-Seaworth,Stannis-Baratheon,Undirected,3,2,90
Alliser-Thorne,Jeor-Mormont,Undirected,3,2,90
Alliser-Thorne,Joffrey-Baratheon,Undirected,4,2,89
Alliser-Thorne,Jon-Snow,Undirected,3,2,90
Alliser-Thorne,Tyrion-Lannister,Undirected,8,2,85
Amabel,Arya-Stark,Undirected,6,2,87
Amabel,Harra,Undirected,4,2,89
Amory-Lorch,Arya-Stark,Undirected,9,2,84
Amory-Lorch,Cersei-Lannister,Undirected,4,2,89
Amory-Lorch,Chiswyck,Undirected,4,2,89
Amory-Lorch,Dunsen,Undirected,3,2,90
Amory-Lorch,Gendry,Undirected,3,2,90
Amory-Lorch,Gregor-Clegane,Undirected,7,2,86
Amory-Lorch,Hot-Pie,Undirected,3,2,90
Amory-Lorch,Ilyn-Payne,Undirected,4,2,89
Amory-Lorch,Joffrey-Baratheon,Undirected,7,2,86
Amory-Lorch,Meryn-Trant,Undirected,5,2,88
Amory-Lorch,Polliver,Undirected,3,2,90
Amory-Lorch,Rafford,Undirected,5,2,88
Amory-Lorch,Roose-Bolton,Undirected,3,2,90
Amory-Lorch,Sandor-Clegane,Undirected,5,2,88
Amory-Lorch,Tickler,Undirected,5,2,88
Amory-Lorch,Tywin-Lannister,Undirected,4,2,89
Amory-Lorch,Vargo-Hoat,Undirected,7,2,86
Amory-Lorch,Yoren,Undirected,5,2,88
Ardrian-Celtigar,Monford-Velaryon,Undirected,5,2,88
Aron-Santagar,Sandor-Clegane,Undirected,3,2,90
Arwyn-Oakheart,Randyll-Tarly,Undirected,3,2,90
Arya-Stark,Beric-Dondarrion,Undirected,5,2,88
Arya-Stark,Biter,Undirected,10,2,83
Arya-Stark,Bran-Stark,Undirected,10,2,83
Arya-Stark,Cersei-Lannister,Undirected,7,2,86
Arya-Stark,Chiswyck,Undirected,8,2,85
Arya-Stark,Dobber,Undirected,4,2,89
Arya-Stark,Dunsen,Undirected,3,2,90
Arya-Stark,Eddard-Stark,Undirected,6,2,87
Arya-Stark,Gendry,Undirected,36,2,57
Arya-Stark,Gregor-Clegane,Undirected,4,2,89
Arya-Stark,Harra,Undirected,3,2,90
Arya-Stark,Harren-Hoare,Undirected,7,2,86
Arya-Stark,Hot-Pie,Undirected,51,2,42
Arya-Stark,Jaime-Lannister,Undirected,3,2,90
Arya-Stark,Jaqen-Hghar,Undirected,25,2,68
Arya-Stark,Joffrey-Baratheon,Undirected,4,2,89
Arya-Stark,Jon-Snow,Undirected,13,2,80
Arya-Stark,Koss,Undirected,3,2,90
Arya-Stark,Lommy-Greenhands,Undirected,31,2,62
Arya-Stark,Nan,Undirected,5,2,88
Arya-Stark,Polliver,Undirected,3,2,90
Arya-Stark,Praed,Undirected,3,2,90
Arya-Stark,Rafford,Undirected,5,2,88
Arya-Stark,Rickon-Stark,Undirected,5,2,88
Arya-Stark,Robb-Stark,Undirected,15,2,78
Arya-Stark,Robert-Baratheon,Undirected,4,2,89
Arya-Stark,Roose-Bolton,Undirected,13,2,80
Arya-Stark,Rorge,Undirected,13,2,80
Arya-Stark,Sansa-Stark,Undirected,20,2,73
Arya-Stark,Syrio-Forel,Undirected,5,2,88
Arya-Stark,Tyrion-Lannister,Undirected,4,2,89
Arya-Stark,Tywin-Lannister,Undirected,13,2,80
Arya-Stark,Vargo-Hoat,Undirected,6,2,87
Arya-Stark,Weasel,Undirected,10,2,83
Arya-Stark,Weese,Undirected,15,2,78
Arya-Stark,Woth,Undirected,3,2,90
Arya-Stark,Yoren,Undirected,28,2,65
Arys-Oakheart,Joffrey-Baratheon,Undirected,6,2,87
Arys-Oakheart,Myrcella-Baratheon,Undirected,4,2,89
Arys-Oakheart,Sansa-Stark,Undirected,3,2,90
Asha-Greyjoy,Balon-Greyjoy,Undirected,3,2,90
Asha-Greyjoy,Dagmer,Undirected,5,2,88
Asha-Greyjoy,Theon-Greyjoy,Undirected,35,2,58
Asha-Greyjoy,Wex-Pyke,Undirected,3,2,90
Axell-Florent,Selyse-Florent,Undirected,3,2,90
Axell-Florent,Stannis-Baratheon,Undirected,6,2,87
Bael-the-Bard,Ygritte,Undirected,5,2,88
Ballabar,Podrick-Payne,Undirected,3,2,90
Ballabar,Tyrion-Lannister,Undirected,12,2,81
Balon-Greyjoy,Catelyn-Stark,Undirected,3,2,90
Balon-Greyjoy,Dagmer,Undirected,3,2,90
Balon-Greyjoy,Eddard-Stark,Undirected,4,2,89
Balon-Greyjoy,Robb-Stark,Undirected,5,2,88
Balon-Greyjoy,Robert-Baratheon,Undirected,4,2,89
Balon-Greyjoy,Theon-Greyjoy,Undirected,27,2,66
Balon-Greyjoy,Victarion-Greyjoy,Undirected,4,2,89
Balon-Swann,Joffrey-Baratheon,Undirected,6,2,87
Balon-Swann,Mandon-Moore,Undirected,3,2,90
Balon-Swann,Meryn-Trant,Undirected,3,2,90
Balon-Swann,Osmund-Kettleblack,Undirected,4,2,89
Balon-Swann,Tyrion-Lannister,Undirected,8,2,85
Barristan-Selmy,Belwas,Undirected,5,2,88
Barristan-Selmy,Cersei-Lannister,Undirected,5,2,88
Barristan-Selmy,Daenerys-Targaryen,Undirected,3,2,90
Barristan-Selmy,Joffrey-Baratheon,Undirected,7,2,86
Barristan-Selmy,Robert-Baratheon,Undirected,3,2,90
Barristan-Selmy,Varys,Undirected,3,2,90
Belwas,Daenerys-Targaryen,Undirected,5,2,88
Belwas,Jhogo,Undirected,3,2,90
Belwas,Jorah-Mormont,Undirected,4,2,89
Benfred-Tallhart,Helman-Tallhart,Undirected,3,2,90
Benfred-Tallhart,Leobald-Tallhart,Undirected,3,2,90
Benfred-Tallhart,Stygg,Undirected,3,2,90
Benfred-Tallhart,Theon-Greyjoy,Undirected,7,2,86
Benjen-Stark,Jeor-Mormont,Undirected,5,2,88
Beric-Dondarrion,Thoros-of-Myr,Undirected,3,2,90
Beth-Cassel,Bran-Stark,Undirected,4,2,89
Beth-Cassel,Rodrik-Cassel,Undirected,4,2,89
Beth-Cassel,Theon-Greyjoy,Undirected,3,2,90
Biter,Jaqen-Hghar,Undirected,12,2,81
Biter,Rorge,Undirected,14,2,79
Biter,Yoren,Undirected,3,2,90
Boros-Blount,Cersei-Lannister,Undirected,7,2,86
Boros-Blount,Gyles-Rosby,Undirected,5,2,88
Boros-Blount,Joffrey-Baratheon,Undirected,11,2,82
Boros-Blount,Meryn-Trant,Undirected,13,2,80
Boros-Blount,Sansa-Stark,Undirected,8,2,85
Boros-Blount,Tanda-Stokeworth,Undirected,3,2,90
Boros-Blount,Tommen-Baratheon,Undirected,3,2,90
Boros-Blount,Tyrion-Lannister,Undirected,8,2,85
Bran-Stark,Catelyn-Stark,Undirected,3,2,90
Bran-Stark,Chayle,Undirected,3,2,90
Bran-Stark,Cley-Cerwyn,Undirected,5,2,88
Bran-Stark,Donella-Hornwood,Undirected,5,2,88
Bran-Stark,Eddard-Stark,Undirected,4,2,89
Bran-Stark,Hayhead,Undirected,6,2,87
Bran-Stark,Hodor,Undirected,59,2,34
Bran-Stark,Howland-Reed,Undirected,3,2,90
Bran-Stark,Jojen-Reed,Undirected,47,2,46
Bran-Stark,Jon-Snow,Undirected,11,2,82
Bran-Stark,Luwin,Undirected,51,2,42
Bran-Stark,Meera-Reed,Undirected,36,2,57
Bran-Stark,Mikken,Undirected,11,2,82
Bran-Stark,Nan,Undirected,7,2,86
Bran-Stark,Osha,Undirected,30,2,63
Bran-Stark,Poxy-Tym,Undirected,3,2,90
Bran-Stark,Ramsay-Snow,Undirected,7,2,86
Bran-Stark,Reek,Undirected,3,2,90
Bran-Stark,Rickon-Stark,Undirected,54,2,39
Bran-Stark,Robb-Stark,Undirected,28,2,65
Bran-Stark,Rodrik-Cassel,Undirected,34,2,59
Bran-Stark,Sansa-Stark,Undirected,5,2,88
Bran-Stark,Stafford-Lannister,Undirected,3,2,90
Bran-Stark,Theon-Greyjoy,Undirected,24,2,69
Bran-Stark,Walder-Frey-(son-of-Jammos),Undirected,5,2,88
Bran-Stark,Walder-Frey-(son-of-Merrett),Undirected,12,2,81
Bran-Stark,Wyman-Manderly,Undirected,6,2,87
Brienne-of-Tarth,Catelyn-Stark,Undirected,36,2,57
Brienne-of-Tarth,Edmure-Tully,Undirected,3,2,90
