Source,Target,Type,weight,book,new_weight
Addam-Marbrand,Gyles-Rosby,Undirected,3,3,92
Addam-Marbrand,Jaime-Lannister,Undirected,3,3,92
Addam-Marbrand,Jalabhar-Xho,Undirected,3,3,92
Addam-Marbrand,Joffrey-Baratheon,Undirected,3,3,92
Addam-Marbrand,Kevan-Lannister,Undirected,3,3,92
Addam-Marbrand,Oberyn-Martell,Undirected,3,3,92
Addam-Marbrand,Tyrion-Lannister,Undirected,7,3,88
Addam-Marbrand,Varys,Undirected,4,3,91
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,Undirected,4,3,91
Aegon-Frey-(son-of-Stevron),Robb-Stark,Undirected,5,3,90
Aegon-Frey-(son-of-Stevron),Stevron-Frey,Undirected,3,3,92
Aegon-Frey-(son-of-Stevron),Walder-Frey,Undirected,6,3,89
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,4,3,91
Aegon-I-Targaryen,Stannis-Baratheon,Undirected,4,3,91
Aegon-I-Targaryen,Torrhen-Stark,Undirected,3,3,92
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,3,3,92
Aemon-Targaryen-(Dragonknight),Jaime-Lannister,Undirected,3,3,92
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,3,3,92
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,16,3,79
Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,Undirected,3,3,92
Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,Undirected,4,3,91
Aemon-Targaryen-(Maester-Aemon),Donal-Noye,Undirected,11,3,84
Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,Undirected,3,3,92
Aemon-Targaryen-(Maester-Aemon),Grenn,Undirected,5,3,90
Aemon-Targaryen-(Maester-Aemon),Hobb,Undirected,3,3,92
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,Undirected,5,3,90
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,3,3,92
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,36,3,59
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,5,3,90
Aemon-Targaryen-(Maester-Aemon),Owen,Undirected,3,3,92
Aemon-Targaryen-(Maester-Aemon),Pypar,Undirected,5,3,90
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,5,3,90
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,32,3,63
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,9,3,86
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,Undirected,3,3,92
Aerys-II-Targaryen,Arthur-Dayne,Undirected,5,3,90
Aerys-II-Targaryen,Brienne-of-Tarth,Undirected,3,3,92
Aerys-II-Targaryen,Jaime-Lannister,Undirected,22,3,73
Aerys-II-Targaryen,Joffrey-Baratheon,Undirected,6,3,89
Aerys-II-Targaryen,Robert-Baratheon,Undirected,9,3,86
Aerys-II-Targaryen,Rossart,Undirected,4,3,91
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,6,3,89
Aerys-II-Targaryen,Tywin-Lannister,Undirected,10,3,85
Aerys-II-Targaryen,Viserys-Targaryen,Undirected,3,3,92
Aggo,Jhogo,Undirected,4,3,91
Aggo,Rakharo,Undirected,3,3,92
Alayaya,Bronn,Undirected,3,3,92
Alayaya,Cersei-Lannister,Undirected,3,3,92
Alayaya,Tyrion-Lannister,Undirected,4,3,91
Alerie-Hightower,Mace-Tyrell,Undirected,3,3,92
Alerie-Hightower,Margaery-Tyrell,Undirected,3,3,92
Alester-Florent,Axell-Florent,Undirected,4,3,91
Alester-Florent,Davos-Seaworth,Undirected,11,3,84
Alester-Florent,Lamprey,Undirected,3,3,92
Alester-Florent,Selyse-Florent,Undirected,4,3,91
Alester-Florent,Stannis-Baratheon,Undirected,4,3,91
Alla-Tyrell,Elinor-Tyrell,Undirected,5,3,90
Alla-Tyrell,Megga-Tyrell,Undirected,6,3,89
Alla-Tyrell,Sansa-Stark,Undirected,4,3,91
Alliser-Thorne,Janos-Slynt,Undirected,13,3,82
Alliser-Thorne,Jon-Snow,Undirected,22,3,73
Alliser-Thorne,Mance-Rayder,Undirected,6,3,89
Alliser-Thorne,Qhorin-Halfhand,Undirected,4,3,91
Alliser-Thorne,Samwell-Tarly,Undirected,4,3,91
Alliser-Thorne,Stannis-Baratheon,Undirected,3,3,92
Amory-Lorch,Gregor-Clegane,Undirected,3,3,92
Amory-Lorch,Jaime-Lannister,Undirected,3,3,92
Amory-Lorch,Oberyn-Martell,Undirected,6,3,89
Amory-Lorch,Tywin-Lannister,Undirected,4,3,91
Amory-Lorch,Vargo-Hoat,Undirected,3,3,92
Anders-Yronwood,Oberyn-Martell,Undirected,3,3,92
Andrew-Estermont,Davos-Seaworth,Undirected,4,3,91
Andrew-Estermont,Edric-Storm,Undirected,4,3,91
Andrew-Estermont,Gerald-Gower,Undirected,3,3,92
Anguy,Arya-Stark,Undirected,15,3,80
Anguy,Beric-Dondarrion,Undirected,4,3,91
Anguy,Greenbeard,Undirected,9,3,86
Anguy,Harwin,Undirected,7,3,88
Anguy,Husband,Undirected,3,3,92
Anguy,Lem,Undirected,22,3,73
Anguy,Sandor-Clegane,Undirected,3,3,92
Anguy,Sharna,Undirected,6,3,89
Anguy,Tom-of-Sevenstreams,Undirected,12,3,83
Arson,Jon-Snow,Undirected,3,3,92
Arstan,Belwas,Undirected,25,3,70
Arstan,Daenerys-Targaryen,Undirected,29,3,66
Arstan,Illyrio-Mopatis,Undirected,3,3,92
Arstan,Jhiqui,Undirected,3,3,92
